"occ","y4_hhid","loancode","hh_p02_2","hh_p03","hh_p04","hh_p05","hh_p06","hh_p07","hh_p08_1","hh_p08_2","hh_p09","hh_p10_1","hh_p10_2","hh_p10_3"
1,"1289-001",1,"**CONFIDENTIAL**",2,2,1,300000,2,2,2015,333000,10,,
1,"1290-001",,,,,,,,,,,,,
1,"1291-001",,,,,,,,,,,,,
1,"1292-001",,,,,,,,,,,,,
1,"1294-001",,,,,,,,,,,,,
1,"1304-001",,,,,,,,,,,,,
1,"1305-001",,,,,,,,,,,,,
1,"1306-001",,,,,,,,,,,,,
1,"1307-001",,,,,,,,,,,,,
1,"1308-001",,,,,,,,,,,,,
1,"1309-001",,,,,,,,,,,,,
1,"1312-001",,,,,,,,,,,,,
1,"1314-001",,,,,,,,,,,,,
1,"1323-001",,,,,,,,,,,,,
1,"1325-001",,,,,,,,,,,,,
1,"1327-001",,,,,,,,,,,,,
1,"1328-001",,,,,,,,,,,,,
1,"1329-001",,,,,,,,,,,,,
1,"1331-001",,,,,,,,,,,,,
1,"1332-001",,,,,,,,,,,,,
1,"1333-001",,,,,,,,,,,,,
1,"1342-001",,,,,,,,,,,,,
1,"1344-001",,,,,,,,,,,,,
1,"1345-001",,,,,,,,,,,,,
1,"1346-001",,,,,,,,,,,,,
1,"1347-001",1,"**CONFIDENTIAL**",5,1,1,3900000,2,0,2020,5000000,1,3,
1,"1348-001",1,"**CONFIDENTIAL**",6,1,1,500000,1,,,500000,7,,
2,"1348-001",2,"**CONFIDENTIAL**",6,1,1,300000,1,,,300000,7,,
1,"1349-001",,,,,,,,,,,,,
1,"1350-001",,,,,,,,,,,,,
1,"1361-001",1,"**CONFIDENTIAL**",5,1,1,17000000,2,4,2019,18700000,1,2,9
1,"1362-001",,,,,,,,,,,,,
1,"1363-001",,,,,,,,,,,,,
1,"1364-001",,,,,,,,,,,,,
1,"1365-001",,,,,,,,,,,,,
1,"1366-001",,,,,,,,,,,,,
1,"1367-001",,,,,,,,,,,,,
1,"1368-001",,,,,,,,,,,,,
1,"1380-001",,,,,,,,,,,,,
1,"1381-001",,,,,,,,,,,,,
1,"1382-001",,,,,,,,,,,,,
1,"1383-001",,,,,,,,,,,,,
1,"1384-001",,,,,,,,,,,,,
1,"1385-001",,,,,,,,,,,,,
1,"1386-001",,,,,,,,,,,,,
1,"1387-001",1,"**CONFIDENTIAL**",1,1,1,6000000,2,6,2015,7200000,1,9,
1,"1399-001",,,,,,,,,,,,,
1,"1400-001",,,,,,,,,,,,,
1,"1401-001",1,"**CONFIDENTIAL**",12,2,1,400000,2,12,2014,420000,7,,
1,"1402-001",,,,,,,,,,,,,
1,"1403-001",,,,,,,,,,,,,
1,"1405-001",,,,,,,,,,,,,
1,"1406-001",1,"**CONFIDENTIAL**",2,1,1,700000,1,,,950000,3,9,
1,"1407-001",,,,,,,,,,,,,
1,"1419-001",1,"**CONFIDENTIAL**",12,2,1,800000,1,,,840000,10,2,
1,"1420-001",1,"**CONFIDENTIAL**",12,2,1,300000,2,3,2015,350000,3,,
1,"1421-001",,,,,,,,,,,,,
1,"1423-001",,,,,,,,,,,,,
1,"1424-001",,,,,,,,,,,,,
1,"1425-001",,,,,,,,,,,,,
1,"1426-001",,,,,,,,,,,,,
1,"1429-001",,,,,,,,,,,,,
1,"1437-001",,,,,,,,,,,,,
1,"1438-001",,,,,,,,,,,,,
1,"1439-001",,,,,,,,,,,,,
1,"1440-001",,,,,,,,,,,,,
1,"1441-001",,,,,,,,,,,,,
1,"1442-001",,,,,,,,,,,,,
1,"1443-001",,,,,,,,,,,,,
1,"1444-001",,,,,,,,,,,,,
1,"1456-001",,,,,,,,,,,,,
1,"1457-001",,,,,,,,,,,,,
1,"1458-001",,,,,,,,,,,,,
1,"1459-001",,,,,,,,,,,,,
1,"1460-001",,,,,,,,,,,,,
1,"1461-001",,,,,,,,,,,,,
1,"1462-001",,,,,,,,,,,,,
1,"1463-001",,,,,,,,,,,,,
1,"1476-001",,,,,,,,,,,,,
1,"1477-001",,,,,,,,,,,,,
1,"1478-001",,,,,,,,,,,,,
1,"1479-001",,,,,,,,,,,,,
1,"1480-001",,,,,,,,,,,,,
1,"1481-001",,,,,,,,,,,,,
1,"1483-001",,,,,,,,,,,,,
1,"1486-001",,,,,,,,,,,,,
1,"1494-001",,,,,,,,,,,,,
1,"1495-001",,,,,,,,,,,,,
1,"1496-001",,,,,,,,,,,,,
1,"1497-001",,,,,,,,,,,,,
1,"1498-001",,,,,,,,,,,,,
1,"1499-001",,,,,,,,,,,,,
1,"1500-001",,,,,,,,,,,,,
1,"1501-001",,,,,,,,,,,,,
1,"1513-001",,,,,,,,,,,,,
1,"1514-001",,,,,,,,,,,,,
1,"1515-001",,,,,,,,,,,,,
1,"1516-001",,,,,,,,,,,,,
1,"1517-001",,,,,,,,,,,,,
1,"1518-001",,,,,,,,,,,,,
1,"1519-001",,,,,,,,,,,,,
1,"1520-001",,,,,,,,,,,,,
1,"1532-001",,,,,,,,,,,,,
1,"1533-001",,,,,,,,,,,,,
1,"1534-001",,,,,,,,,,,,,
1,"1536-001",1,"**CONFIDENTIAL**",2,2,1,600000,2,5,2015,726000,7,,
1,"1537-001",,,,,,,,,,,,,
1,"1538-001",,,,,,,,,,,,,
1,"1539-001",,,,,,,,,,,,,
1,"1541-001",,,,,,,,,,,,,
1,"1551-001",,,,,,,,,,,,,
1,"1552-001",,,,,,,,,,,,,
1,"1553-001",,,,,,,,,,,,,
1,"1554-001",,,,,,,,,,,,,
1,"1555-001",,,,,,,,,,,,,
1,"1556-001",,,,,,,,,,,,,
1,"1557-001",,,,,,,,,,,,,
1,"1559-001",,,,,,,,,,,,,
1,"1570-001",,,,,,,,,,,,,
1,"1571-001",,,,,,,,,,,,,
1,"1572-001",,,,,,,,,,,,,
1,"1573-001",,,,,,,,,,,,,
1,"1574-001",,,,,,,,,,,,,
1,"1575-001",,,,,,,,,,,,,
1,"1576-001",,,,,,,,,,,,,
1,"1578-001",,,,,,,,,,,,,
1,"1589-001",1,"**CONFIDENTIAL**",6,1,2,26000,1,,,26000,7,,
1,"1590-001",,,,,,,,,,,,,
1,"1591-001",,,,,,,,,,,,,
1,"1592-001",1,"**CONFIDENTIAL**",2,1,1,11000000,2,12,2017,12100000,9,,
1,"1593-001",,,,,,,,,,,,,
1,"1594-001",,,,,,,,,,,,,
1,"1595-001",,,,,,,,,,,,,
1,"1596-001",,,,,,,,,,,,,
1,"1608-001",,,,,,,,,,,,,
1,"1609-001",,,,,,,,,,,,,
1,"1610-001",,,,,,,,,,,,,
1,"1611-001",,,,,,,,,,,,,
1,"1612-001",,,,,,,,,,,,,
1,"1613-001",,,,,,,,,,,,,
1,"1614-001",,,,,,,,,,,,,
1,"1615-001",1,"**CONFIDENTIAL**",1,1,1,500000,2,7,2015,587500,9,,
1,"1627-001",1,"**CONFIDENTIAL**",6,1,1,30000,2,12,2014,45000,10,1,
1,"1628-001",,,,,,,,,,,,,
1,"1629-001",,,,,,,,,,,,,
1,"1632-001",,,,,,,,,,,,,
1,"1633-001",,,,,,,,,,,,,
1,"1635-001",,,,,,,,,,,,,
1,"1636-001",,,,,,,,,,,,,
1,"1638-001",,,,,,,,,,,,,
1,"1646-001",,,,,,,,,,,,,
1,"1647-001",,,,,,,,,,,,,
1,"1648-001",,,,,,,,,,,,,
1,"1649-001",,,,,,,,,,,,,
1,"1650-001",,,,,,,,,,,,,
1,"1651-001",,,,,,,,,,,,,
1,"1652-001",,,,,,,,,,,,,
1,"1654-001",,,,,,,,,,,,,
1,"1665-001",,,,,,,,,,,,,
1,"1666-001",,,,,,,,,,,,,
1,"1667-001",,,,,,,,,,,,,
1,"1668-001",,,,,,,,,,,,,
1,"1669-001",,,,,,,,,,,,,
1,"1671-001",,,,,,,,,,,,,
1,"1673-001",,,,,,,,,,,,,
1,"1676-001",,,,,,,,,,,,,
1,"1684-001",,,,,,,,,,,,,
1,"1685-001",,,,,,,,,,,,,
1,"1687-001",,,,,,,,,,,,,
1,"1688-001",,,,,,,,,,,,,
1,"1690-001",,,,,,,,,,,,,
1,"1691-001",,,,,,,,,,,,,
1,"1693-001",,,,,,,,,,,,,
1,"1694-001",,,,,,,,,,,,,
1,"1703-001",,,,,,,,,,,,,
1,"1704-001",,,,,,,,,,,,,
1,"1705-001",,,,,,,,,,,,,
1,"1706-001",,,,,,,,,,,,,
1,"1707-001",,,,,,,,,,,,,
1,"1708-001",1,"**CONFIDENTIAL**",1,1,1,2500000,2,4,2015,3060000,7,,
1,"1709-001",,,,,,,,,,,,,
1,"1710-001",1,"**CONFIDENTIAL**",6,1,1,30000,2,2,2015,40000,1,,
1,"1723-001",,,,,,,,,,,,,
1,"1724-001",,,,,,,,,,,,,
1,"1725-001",,,,,,,,,,,,,
1,"1726-001",,,,,,,,,,,,,
1,"1728-001",,,,,,,,,,,,,
1,"1729-001",1,"**CONFIDENTIAL**",2,2,1,300000,1,,,330000,7,,
1,"1732-001",,,,,,,,,,,,,
1,"1733-001",,,,,,,,,,,,,
1,"1741-001",1,"**CONFIDENTIAL**",1,1,1,1500000,1,,,1800000,3,,
1,"1743-001",,,,,,,,,,,,,
1,"1744-001",,,,,,,,,,,,,
1,"1745-001",,,,,,,,,,,,,
1,"1746-001",,,,,,,,,,,,,
1,"1747-001",,,,,,,,,,,,,
1,"1748-001",,,,,,,,,,,,,
1,"1749-001",,,,,,,,,,,,,
1,"1761-001",,,,,,,,,,,,,
1,"1762-001",,,,,,,,,,,,,
1,"1763-001",,,,,,,,,,,,,
1,"1764-001",,,,,,,,,,,,,
1,"1765-001",,,,,,,,,,,,,
1,"1766-001",1,"**CONFIDENTIAL**",12,1,1,200000,2,3,2015,240000,3,1,
1,"1768-001",,,,,,,,,,,,,
1,"1771-001",,,,,,,,,,,,,
1,"1779-001",,,,,,,,,,,,,
1,"1780-001",,,,,,,,,,,,,
1,"1781-001",,,,,,,,,,,,,
1,"1782-001",,,,,,,,,,,,,
1,"1783-001",1,"**CONFIDENTIAL**",6,1,1,100000,1,,,100000,5,,
2,"1783-001",2,"**CONFIDENTIAL**",6,1,1,110000,2,1,2015,110000,5,,
1,"1784-001",,,,,,,,,,,,,
1,"1785-001",1,"**CONFIDENTIAL**",6,2,2,30000,2,12,2014,30000,7,,
1,"1786-001",,,,,,,,,,,,,
1,"1798-001",,,,,,,,,,,,,
1,"1799-001",,,,,,,,,,,,,
1,"1800-001",,,,,,,,,,,,,
1,"1801-001",,,,,,,,,,,,,
1,"1802-001",,,,,,,,,,,,,
1,"1803-001",,,,,,,,,,,,,
1,"1804-001",,,,,,,,,,,,,
1,"1805-001",,,,,,,,,,,,,
1,"1817-001",,,,,,,,,,,,,
1,"1818-001",,,,,,,,,,,,,
1,"1819-001",,,,,,,,,,,,,
1,"1820-001",,,,,,,,,,,,,
1,"1821-001",1,"**CONFIDENTIAL**",5,2,1,200000,1,,,230000,7,,
1,"1822-001",1,"**CONFIDENTIAL**",2,1,1,400000,1,,,600000,3,1,
1,"1823-001",1,"**CONFIDENTIAL**",2,1,1,300000,1,,,403200,7,,
1,"1824-001",,,,,,,,,,,,,
1,"1836-001",,,,,,,,,,,,,
1,"1837-001",,,,,,,,,,,,,
1,"1838-001",,,,,,,,,,,,,
1,"1839-001",,,,,,,,,,,,,
1,"1840-001",,,,,,,,,,,,,
1,"1841-001",,,,,,,,,,,,,
1,"1842-001",,,,,,,,,,,,,
1,"1843-001",,,,,,,,,,,,,
1,"1855-001",,,,,,,,,,,,,
1,"1856-001",,,,,,,,,,,,,
1,"1857-001",,,,,,,,,,,,,
1,"1858-001",1,"**CONFIDENTIAL**",6,1,2,300000,1,,,300000,8,,
1,"1859-001",,,,,,,,,,,,,
1,"1860-001",,,,,,,,,,,,,
1,"1861-001",,,,,,,,,,,,,
1,"1862-001",,,,,,,,,,,,,
1,"1874-001",,,,,,,,,,,,,
1,"1875-001",,,,,,,,,,,,,
1,"1876-001",,,,,,,,,,,,,
1,"1877-001",1,"**CONFIDENTIAL**",6,1,1,44000,2,3,2015,44000,1,,
1,"1878-001",,,,,,,,,,,,,
1,"1879-001",,,,,,,,,,,,,
1,"1880-001",,,,,,,,,,,,,
1,"1881-001",,,,,,,,,,,,,
1,"1893-001",,,,,,,,,,,,,
1,"1894-001",1,"**CONFIDENTIAL**",12,2,1,80000,2,3,2014,88000,1,,
1,"1896-001",,,,,,,,,,,,,
1,"1897-001",,,,,,,,,,,,,
1,"1898-001",,,,,,,,,,,,,
1,"1899-001",,,,,,,,,,,,,
1,"1900-001",,,,,,,,,,,,,
1,"1902-001",,,,,,,,,,,,,
1,"1912-001",,,,,,,,,,,,,
1,"1913-001",,,,,,,,,,,,,
1,"1914-001",,,,,,,,,,,,,
1,"1915-001",,,,,,,,,,,,,
1,"1916-001",1,"**CONFIDENTIAL**",6,2,1,100000,1,,,110000,7,3,
1,"1917-001",,,,,,,,,,,,,
1,"1918-001",1,"**CONFIDENTIAL**",1,2,1,3800000,1,,,5620068,10,5,
1,"1922-001",,,,,,,,,,,,,
1,"1931-001",,,,,,,,,,,,,
1,"1932-001",,,,,,,,,,,,,
1,"1933-001",,,,,,,,,,,,,
1,"1934-001",,,,,,,,,,,,,
1,"1935-001",1,"**CONFIDENTIAL**",6,1,1,30000,1,,,30000,7,,
1,"1936-001",,,,,,,,,,,,,
1,"1937-001",,,,,,,,,,,,,
1,"1938-001",1,"**CONFIDENTIAL**",1,1,1,4300000,2,8,2019,6551504,9,,
2,"1938-001",2,"**CONFIDENTIAL**",6,1,1,300000,1,,,300000,1,,
1,"1950-001",,,,,,,,,,,,,
1,"1951-001",,,,,,,,,,,,,
1,"1952-001",,,,,,,,,,,,,
1,"1953-001",,,,,,,,,,,,,
1,"1954-001",,,,,,,,,,,,,
1,"1955-001",1,"**CONFIDENTIAL**",1,1,1,5000000,2,6,2015,5673578580,10,,
1,"1956-001",,,,,,,,,,,,,
1,"1957-001",,,,,,,,,,,,,
1,"1969-001",,,,,,,,,,,,,
1,"1970-001",,,,,,,,,,,,,
1,"1971-001",,,,,,,,,,,,,
1,"1972-001",,,,,,,,,,,,,
1,"1973-001",,,,,,,,,,,,,
1,"1974-001",1,"**CONFIDENTIAL**",6,1,1,100000,2,1,2015,100000,10,,
1,"1975-001",,,,,,,,,,,,,
1,"1976-001",,,,,,,,,,,,,
1,"1988-001",,,,,,,,,,,,,
1,"1989-001",,,,,,,,,,,,,
1,"1990-001",,,,,,,,,,,,,
1,"1991-001",,,,,,,,,,,,,
1,"1992-001",1,"**CONFIDENTIAL**",6,1,2,500000,2,5,2015,600000,7,,
1,"1993-001",,,,,,,,,,,,,
1,"1994-001",,,,,,,,,,,,,
1,"1995-001",,,,,,,,,,,,,
1,"2007-001",,,,,,,,,,,,,
1,"2008-001",,,,,,,,,,,,,
1,"2009-001",1,"**CONFIDENTIAL**",2,1,1,200000,1,,,220000,1,2,
1,"2010-001",,,,,,,,,,,,,
1,"2011-001",,,,,,,,,,,,,
1,"2012-001",1,"**CONFIDENTIAL**",12,1,1,90000,1,,,100000,7,,
1,"2013-001",,,,,,,,,,,,,
1,"2014-001",,,,,,,,,,,,,
1,"2026-001",,,,,,,,,,,,,
1,"2027-001",1,"**CONFIDENTIAL**",2,1,1,600000,2,4,2014,660000,9,,
1,"2028-001",1,"**CONFIDENTIAL**",6,1,1,9000,2,2,2015,9000,1,,
1,"2029-001",,,,,,,,,,,,,
1,"2030-001",1,"**CONFIDENTIAL**",5,1,1,800000,1,,,980000,6,1,
1,"2031-001",,,,,,,,,,,,,
1,"2032-001",,,,,,,,,,,,,
1,"2033-001",,,,,,,,,,,,,
1,"2045-001",,,,,,,,,,,,,
1,"2046-001",,,,,,,,,,,,,
1,"2047-001",,,,,,,,,,,,,
1,"2048-001",,,,,,,,,,,,,
1,"2049-001",,,,,,,,,,,,,
1,"2050-001",1,"**CONFIDENTIAL**",13,1,2,75000,1,,,75000,6,,
1,"2051-001",,,,,,,,,,,,,
1,"2052-001",,,,,,,,,,,,,
1,"2064-001",,,,,,,,,,,,,
1,"2065-001",,,,,,,,,,,,,
1,"2066-001",,,,,,,,,,,,,
1,"2067-001",,,,,,,,,,,,,
1,"2068-001",,,,,,,,,,,,,
1,"2069-001",,,,,,,,,,,,,
1,"2070-001",,,,,,,,,,,,,
1,"2072-001",,,,,,,,,,,,,
1,"2083-001",,,,,,,,,,,,,
1,"2084-001",,,,,,,,,,,,,
1,"2085-001",1,"**CONFIDENTIAL**",2,1,1,1000000,2,7,2016,1755227,3,9,
1,"2086-001",,,,,,,,,,,,,
1,"2087-001",1,"**CONFIDENTIAL**",2,1,1,200000,1,,,250000,1,,
1,"2088-001",1,"**CONFIDENTIAL**",12,2,1,50000,1,,,70000,7,,
1,"2089-001",,,,,,,,,,,,,
1,"2090-001",1,"**CONFIDENTIAL**",2,2,1,180000,2,6,2015,250000,6,7,
1,"2102-001",,,,,,,,,,,,,
1,"2103-001",,,,,,,,,,,,,
1,"2105-001",,,,,,,,,,,,,
1,"2106-001",,,,,,,,,,,,,
1,"2107-001",,,,,,,,,,,,,
1,"2108-001",,,,,,,,,,,,,
1,"2109-001",1,"**CONFIDENTIAL**",6,1,1,50000,1,,,50000,9,1,
1,"2110-001",,,,,,,,,,,,,
1,"2121-001",,,,,,,,,,,,,
1,"2122-001",,,,,,,,,,,,,
1,"2123-001",,,,,,,,,,,,,
1,"2124-001",1,"**CONFIDENTIAL**",10,2,1,200000,2,11,2014,220000,7,,
1,"2125-001",,,,,,,,,,,,,
1,"2126-001",,,,,,,,,,,,,
1,"2127-001",,,,,,,,,,,,,
1,"2128-001",,,,,,,,,,,,,
1,"2140-001",,,,,,,,,,,,,
1,"2141-001",,,,,,,,,,,,,
1,"2142-001",,,,,,,,,,,,,
1,"2143-001",,,,,,,,,,,,,
1,"2144-001",,,,,,,,,,,,,
1,"2145-001",,,,,,,,,,,,,
1,"2146-001",,,,,,,,,,,,,
1,"2147-001",,,,,,,,,,,,,
1,"2159-001",,,,,,,,,,,,,
1,"2160-001",,,,,,,,,,,,,
1,"2161-001",,,,,,,,,,,,,
1,"2162-001",,,,,,,,,,,,,
1,"2163-001",,,,,,,,,,,,,
1,"2164-001",1,"**CONFIDENTIAL**",6,1,1,100000,2,3,2015,100000,7,,
1,"2165-001",,,,,,,,,,,,,
1,"2166-001",,,,,,,,,,,,,
1,"2178-001",1,"**CONFIDENTIAL**",1,2,1,3500000,1,,,4600000,9,,
1,"2179-001",,,,,,,,,,,,,
1,"2180-001",,,,,,,,,,,,,
1,"2181-001",,,,,,,,,,,,,
1,"2182-001",1,"**CONFIDENTIAL**",1,1,1,3000000,2,7,2016,5200000,5,1,
1,"2183-001",1,"**CONFIDENTIAL**",2,1,1,200000,1,,,300000,7,1,
1,"2184-001",,,,,,,,,,,,,
1,"2185-001",,,,,,,,,,,,,
1,"2197-001",,,,,,,,,,,,,
1,"2198-001",,,,,,,,,,,,,
1,"2199-001",,,,,,,,,,,,,
1,"2200-001",,,,,,,,,,,,,
1,"2201-001",,,,,,,,,,,,,
1,"2202-001",1,"**CONFIDENTIAL**",12,1,1,100000,2,3,2015,12000,1,2,10
1,"2203-001",,,,,,,,,,,,,
1,"2204-001",,,,,,,,,,,,,
1,"2216-001",,,,,,,,,,,,,
1,"2217-001",,,,,,,,,,,,,
1,"2218-001",,,,,,,,,,,,,
1,"2219-001",,,,,,,,,,,,,
1,"2220-001",,,,,,,,,,,,,
1,"2221-001",,,,,,,,,,,,,
1,"2222-001",,,,,,,,,,,,,
1,"2223-001",,,,,,,,,,,,,
1,"2235-001",,,,,,,,,,,,,
1,"2236-001",1,"**CONFIDENTIAL**",2,1,1,700000,1,,,770000,7,,
1,"2237-001",,,,,,,,,,,,,
1,"2238-001",,,,,,,,,,,,,
1,"2239-001",,,,,,,,,,,,,
1,"2240-001",,,,,,,,,,,,,
1,"2241-001",,,,,,,,,,,,,
1,"2242-001",,,,,,,,,,,,,
1,"2254-001",,,,,,,,,,,,,
1,"2255-001",,,,,,,,,,,,,
1,"2256-001",,,,,,,,,,,,,
1,"2257-001",,,,,,,,,,,,,
1,"2258-001",,,,,,,,,,,,,
1,"2259-001",,,,,,,,,,,,,
1,"2260-001",,,,,,,,,,,,,
1,"2261-001",,,,,,,,,,,,,
1,"2273-001",,,,,,,,,,,,,
1,"2274-001",,,,,,,,,,,,,
1,"2275-001",,,,,,,,,,,,,
1,"2276-001",,,,,,,,,,,,,
1,"2277-001",,,,,,,,,,,,,
1,"2278-001",,,,,,,,,,,,,
1,"2279-001",,,,,,,,,,,,,
1,"2280-001",,,,,,,,,,,,,
1,"2292-001",,,,,,,,,,,,,
1,"2293-001",,,,,,,,,,,,,
1,"2294-001",,,,,,,,,,,,,
1,"2295-001",,,,,,,,,,,,,
1,"2296-001",,,,,,,,,,,,,
1,"2297-001",,,,,,,,,,,,,
1,"2298-001",,,,,,,,,,,,,
1,"2299-001",,,,,,,,,,,,,
1,"2311-001",,,,,,,,,,,,,
1,"2312-001",,,,,,,,,,,,,
1,"2313-001",,,,,,,,,,,,,
1,"2314-001",,,,,,,,,,,,,
1,"2316-001",,,,,,,,,,,,,
1,"2317-001",,,,,,,,,,,,,
1,"2318-001",,,,,,,,,,,,,
